city_id,city,state_id
3673,Annapolis,110
3674,Thousand Oaks,106
3675,Columbus,101
3676,Aberdeen,145
3677,JUNO BEACH,118
3678,Holtville,106
3679,newark,117
3680,Coral Springs,118
3681,Gainesville,118
3682,Redwood City ,106
3683,Arlington,105
3684,Maplewood,104
3685,Toledo ,131
3686,GLENDALE,106
3687,WHEELING,115
3688,Manchester,109
3689,Eden Prairie,104
3690,Brookline,125
3691,Ogden,122
3692,Boca Raton ,118
3693,Buffalo,113
3694,WAUKESHA,139
3695,FOLSOM,106
3696,LEXINGTON,116
3697,Tomball,107
3698,Issaquah,114
3699,BLOOMFIELD ,117
3700,DePere ,139
3701,CHICAGO,115
3702,St. Paul,104
3703,Little Ferry,117
3704,Livermore,106
3705,Atlanta ,101
3706,Aurora,132
3707,Marietta,101
3708,Mediacom Park,113
3709,BATON ROUGE,133
3710,Bethesda,110
3711,Oak Creek,139
3712,Oklahoma City,112
3713,Boston ,103
3714,NEWTON,103
3715,Garland,107
3716,FOSTER CITY,106
3717,Farmington,122
3718,Plymouth ,104
3719,Nashua,125
3720,SHALIMAR,118
3721,University,144
3722,EAST PEORIA,115
3723,Grapevine,107
3724,Auburn,124
3725,Morgantown,146
3726,Moline,115
3727,Snoqualmie,114
3728,DES PLAINES ,115
3729,Newton,103
3730,Covington,133
3731,Alameda,106
3732,SPRINGFIELD,103
3733,Roseville,106
3734,SANTA BARBARA ,106
3735,SPRINGFIELD ,103
3736,Williamsburg,108
3737,DEERFIELD,115
3738,Northborough,103
3739,Glen Allen ,108
3740,Woodcliff Lake,117
3741,Knoxville,105
3742,GLENALLEN,108
3743,New Haven,109
3744,FRESNO,106
3745,PINEVILLE,133
3746,WEST HOUSTON,107
3747,Enola,119
3748,Warren,117
3749,REDWOOD CITY,106
3750,Greenville,134
3751,BETHLEHEM,119
3752,Redmond ,114
3753,GREENSBORO,120
3754,PARAMUS,117
3755,Glenview,115
3756,Norristown,119
3757,Rancho Cucamonga ,106
3758,Malta,113
3759,Fenton,111
3760,Wilton,109
3761,BLOOMINGTON,115
3762,Maryland Heights,111
3763,Worcester,103
3764,Tracy,106
3765,Newton,117
3766,Cincinatti,131
3767,Audubon,119
3768,New Providence,117
3769,CINCINNATI,131
3770,Downers Grove,115
3771,Renton,114
3772,Westbury,113
3773,BRONX,113
3774,Mason,102
3775,Chandler ,121
3776,Ronkonkoma,113
3777,Chester,108
3778,Hopkinton,103
3779,New Braunfels,107
3780,LAKE FOREST,115
3781,Sugar Land,107
3782,Florham Park,117
3783,Belmont,103
3784,Pennington,117
3785,Exton ,119
3786,MINNEAPOLIS,104
3787,Tarrytown,113
3788,SANTA MONICA,106
3789,WEST PALM BEACH ,118
3790,Burlington,129
3791,Astoria,113
3792,Harrison,113
3793,Woburn,103
3794,MOKENA,115
3795,Kennesaw,101
3796, Hopkinton,103
3797,MURPHY,107
3798,Round Lake,115
3799,East Brunswick,117
3800,Pekin,115
3801,Downingtown,119
3802,Basking Ridge,117
3803,Keene,125
3804,Alvin,107
3805,DETROIT,102
3806,BEAVERTON,130
3807,Marquette,102
3808,Powell,131
3809,Woodbury,104
3810,Normal,115
3811,NEWPORT BEACH,106
